Fragment.line,FoodType,FoodSpecific,Location,pleiades_uri,lon,lat,latlon
44,fish,gray mullet,Abdera,http://pleiades.stoa.org/places/501323,24.983333,40.95,"40.95, 24.983333"
56.1,invertebrates,cuttle-fish,Abdera,http://pleiades.stoa.org/places/501323,24.983333,40.95,"40.95, 24.983333"
7.1,shellfish,oysters,Abydos,http://pleiades.stoa.org/places/501325,26.406964,40.196017,"40.196017, 26.406964"
43.1,fish,gray mullet,Aigina,http://pleiades.stoa.org/places/579853,23.433333,37.75,"37.75, 23.433333"
7.3,shellfish,scallops,Ambracia,http://pleiades.stoa.org/places/530794,20.989927,39.154973,"39.154973, 20.989927"
16.1,fish,boar-fish,Ambracia,http://pleiades.stoa.org/places/530794,20.989927,39.154973,"39.154973, 20.989927"
26.3,shellfish,large shrimp,Ambracia,http://pleiades.stoa.org/places/530794,20.989927,39.154973,"39.154973, 20.989927"
31.2,fish,chromis,Ambracia,http://pleiades.stoa.org/places/530794,20.989927,39.154973,"39.154973, 20.989927"
45.5,fish,sea-bass,Ambracia,http://pleiades.stoa.org/places/530794,20.989927,39.154973,"39.154973, 20.989927"
55.2,invertebrates,squid,Ambracia,http://pleiades.stoa.org/places/530794,20.989927,39.154973,"39.154973, 20.989927"
15.1,fish,hake,Anthedon,http://pleiades.stoa.org/places/540639,23.451655,38.497693,"38.497693, 23.451655"
5.16,grain,oven-baked bread,Athenae,http://pleiades.stoa.org/places/579885,23.719537,37.970793,"37.970793, 23.719537"
11.1,fish,small-fry,Athenae,http://pleiades.stoa.org/places/579885,23.719537,37.970793,"37.970793, 23.719537"
60.16,grain,flatcake,Athenae,http://pleiades.stoa.org/places/579885,23.719537,37.970793,"37.970793, 23.719537"
23.1,fish,pig-fish,Pontus Euxinus,http://pleiades.stoa.org/places/1224,34.7425505,43.0786852,"43.0786852, 34.7425505"
38.3,fish,saltfish,Pontus Euxinus,http://pleiades.stoa.org/places/1224,34.7425505,43.0786852,"43.0786852, 34.7425505"
59.5,wine,Bibline wine,Byblos,http://pleiades.stoa.org/places/668216,35.645732,34.119026,"34.119026, 35.645732"
