Object Number,Object ID,Object Name,Title,Culture,Period,Object Date,Object Begin Date,Object End Date,location,Link Resource
1989.281.22,327411,Brooch,Brooch with a lion,Lydian,Iron Age,ca. 6th--5th century B.C.,-600,-400,Turkey,http://www.metmuseum.org/art/collection/search/327411
74.51.743,240330,Jug,Jug,Cypriot,Cypro-Archaic II,600--480 B.C.,-600,-480,Cyprus,http://www.metmuseum.org/art/collection/search/240330
10.179.5,248275,Vase fragment,Vase fragment,Mycenaean,Late Helladic IIIA,ca. 1400--1300 B.C.,-1400,-1300,Greece,http://www.metmuseum.org/art/collection/search/248275
"95.15.317, .318",245857,Earring with suspended cube,Pair of gold earrings with cage and ball pendants,Phoenician,Archaic,7th--6th century B.C.,-699,-500,Levant,http://www.metmuseum.org/art/collection/search/245857
81.10.221,245373,"Jug, hexagonal, Dionysiac",Glass hexagonal jug with Dionysiac symbols,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/245373
81.10.199,245352,"Cosmetic flask, double",Glass double cosmetic flask (kohl tube),"Roman, Syrian",Late Imperial,4th century A.D.,300,399,Syria,http://www.metmuseum.org/art/collection/search/245352
74.51.1825,241380,"Lamp, concave top",Terracotta lamp,"Roman, Cypriot",Early Imperial,1st century B.C.--1st century A.D.,-99,99,Cyprus,http://www.metmuseum.org/art/collection/search/241380
17.194.29,249274,Intaglio,Glass ring stone,Greek,Hellenistic,3rd--1st century B.C.,-299,-1,Greece,http://www.metmuseum.org/art/collection/search/249274
03.23.55,247069,Spit,Iron spit,Etruscan,Archaic,ca. 550 B.C.,-550,-550,Italy,http://www.metmuseum.org/art/collection/search/247069
19.45.7,250726,Jug,Jug,"Greek, Attic",Geometric,8th century B.C.,-799,-700,Greece,http://www.metmuseum.org/art/collection/search/250726
74.51.2873,242423,Head of a man,Limestone head of a bearded male with a plain headdress,Cypriot,Archiac,middle of the 6th century B.C.,-560,-540,Cyprus,http://www.metmuseum.org/art/collection/search/242423
91.1.1845,257070,"Fragment, mosaic box (pyxis)",Glass mosaic box (pyxis) fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257070
25.78.108,251888,Mold fragment,Terracotta mold fragment,Roman,Early Imperial,ca. 40 B.C.--A.D. 60,-40,60,Italy,http://www.metmuseum.org/art/collection/search/251888
30.115.51,253101,Bottle,Glass bottle,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/253101
26.199.206,252773,Vase fragment,Vase fragment,"East Greek/Sardis, Lydian",Geometric,,-1050,-700,Turkey,http://www.metmuseum.org/art/collection/search/252773
