country,name_latin,name_standard,location,begin_date,begin_date_format,end_date,end_date_format,coordinates;
ghost name,,A[..]....,,0,AD 0,0,AD 0,;
Egypt,,A.[ ],,-228,BC 228,-227,BC 227,;
Egypt,,A.[ ],near 00c Tebtynis (2287),164,AD 164,164,AD 164,;
Egypt,,Aalabin Topos,,700,AD 700,725,AD 725,;
Egypt,,Aanemooch Topos,,700,AD 700,725,AD 725,;
Egypt,,Ab[ ] Epoikion,,130,AD 130,160,AD 160,;
Egypt,,Ab( ) Chorion,,600,AD 600,799,AD 799,;
Egypt,,Abak( ),,500,AD 500,699,AD 699,;
Egypt,,Abaktou Topos,,524,AD 524,725,AD 725,;
Sudan,Abale,Abale,between the 5th cataract and Meroe (3460),77,AD 77,77,AD 77,"17.682319,33.975361;"
Egypt,,Abanin Topos,,716,AD 716,717,AD 717,;
ghost name,,Abat[ ] Nomarchia,,0,AD 0,0,AD 0,;
Egypt,Abatos,Abaton,originally part of the island U01 Tmousanis / Snmt (7661) near U01 Philai (1767),-399,BC 399,499,AD 499,"24.041393,32.897895;"
Greece,,Abdera,,900,AD 900,999,AD 999,"40.95,24.983333;"
Egypt,,Abelkian Topos,in the territory of 00a Patsontis (1634),150,AD 150,185,AD 185,;
Jordan,,Abella,,-259,BC 259,-259,BC 259,;
Egypt,,Aberios?,in the territory of 00b Theadelpheia (Batn el-Harit) (2349),160,AD 160,160,AD 160,;
Egypt,,Abilou Topos,,706,AD 706,706,AD 706,;
Egypt,,Abirou,,716,AD 716,717,AD 717,;
ghost name,Abocedo,Abocedo,,0,AD 0,0,AD 0,;
Egypt,,Abotis,,540,AD 540,540,AD 540,;
Egypt,,Abou Tzamoul Topos,,700,AD 700,725,AD 725,;
Sudan,,Abounkis,on the western Nile bank,130,AD 130,180,AD 180,;
Egypt,,Abraam Amphodon,in 00d Krokodilopolis (Medinet el-Fayum) (327),600,AD 600,699,AD 699,;
Egypt,,Abraamiou [ ],,500,AD 500,699,AD 699,;
Egypt,,Abraamiou Mone,,500,AD 500,599,AD 599,;
Egypt,,Abba Abraamiou Topos,,700,AD 700,725,AD 725,;
Egypt,,Abro[ ] Epoikion,,148,AD 148,149,AD 149,;
Egypt,,Abrochou Epoikion,,43,AD 43,225,AD 225,;
Egypt,,Paiderotos kai Abrytanou Episemon,in the territory of L00 Alexandria (100),-14,BC 14,-14,BC 14,;
Egypt,,Abu el-Matamir,,0,AD 0,0,AD 0,"30.908411,30.148487;"
Turkey,Phrygia,Phrygia,,-386,BC 386,799,AD 799,;
Egypt,Amuda - Indoma,Amouda,on the western Nile bank (but according to Plinius / Iuba on the eastern Nile bank),77,AD 77,77,AD 77,"22.33644375,31.62656425;"
Egypt,Abydus - Aboedos - Abubis - Abidos,Abydos,on the western Nile bank,-664,BC 664,1899,AD 1899,"26.185099,31.917622;"
Egypt,,Abylloi,"in Trogodytike (2481), near the Nile",540,AD 540,540,AD 540,;
Libya,Ethyopia Garamantium - Asbyste - Garamantes,Asbysta,in the Fezzan region,43,AD 43,1284,AD 1284,;
Greece,Acarnania,Acarnania,,-332,BC 332,-30,BC 30,;
Greece,Achaea - Achaia,Achaia,,-299,BC 299,699,AD 699,;
Egypt,,Achenous Topos,in the territory of 00c Tebtynis (2287),46,AD 46,46,AD 46,;
Egypt,,Achilleos Chorion,near 00a Philadelpheia (Gharabet el-Gerza) (1760),-210,BC 210,14,AD 14,;
Egypt,,Achoapios Nomarchia,near 00c Kerkeesis (1051),-245,BC 245,-231,BC 231,;
ghost name,,Ad...oui,,0,AD 0,0,AD 0,;
Turkey,,Adada,,-299,BC 299,-100,BC 100,"37.58177625,30.98634825;"
Egypt,,Adamasi[ ],in the territory of 00b Theadelpheia (Batn el-Harit) (2349),96,AD 96,96,AD 96,;
Eritrea,Aduliton oppidum - Adulim,Adoulis,at the Red Sea (3632),77,AD 77,897,AD 897,;
Turkey,Adramitium,Adramyttion,,300,AD 300,450,AD 450,"39.4658333,26.937500;"
Egypt,Aegyptus,Egypt,,-999,BC 999,1699,AD 1699,;
Egypt,,Aerl( ),,640,AD 640,799,AD 799,;
Sudan,Aethiopia,Aethiopia,,-999,BC 999,1595,AD 1595,;
Greece,Aetolia,Aetolia,,-332,BC 332,640,AD 640,;
Egypt,,Agaba Kastellou Kome,unknown,500,AD 500,599,AD 599,;
Egypt,,Agapes Monasterion,,600,AD 600,699,AD 699,;
Egypt,,Agathoboulou Topos,in the territory of 00b Theadelpheia (Batn el-Harit) (2349),160,AD 160,160,AD 160,;
Egypt,,Agathokleous Kleros,in the territory of U15 Sinape (2938),286,AD 286,321,AD 321,;
ghost name,,Agathonos Chorion,,0,AD 0,0,AD 0,;
Egypt,,Agathonos Nesos,in the Red Sea (3632),130,AD 130,180,AD 180,;
Egypt,,Agathonos Topos,,716,AD 716,717,AD 717,;
Egypt,,Agathos Daimon,in the Delta,15,AD 15,540,AD 540,;
ghost name,,Agaton Chorion,,0,AD 0,0,AD 0,;
Egypt,,Agazelou Kleros,in the territory of U15 Poampinouphis (6794),254,AD 254,268,AD 268,;
Egypt,,Ageronos Ktema,,600,AD 600,625,AD 625,;
Egypt,,Agi.l[...].,,500,AD 500,699,AD 699,;
Cyprus,,Hagia Moni,,0,AD 0,0,AD 0,;
Egypt,,Agon,in the territory of 00b Theadelpheia (Batn el-Harit) (2349),96,AD 96,96,AD 96,;
Egypt,,Agoranomeiou Plateia,in 00d Krokodilopolis (Medinet el-Fayum) (327),102,AD 102,102,AD 102,;
Turkey,,Agoresa,,-240,BC 240,-240,BC 240,;
Egypt,,Agrariou,,342,AD 342,351,AD 351,;
Bulgaria,,Agrianes,in the upper valley of the river Strymon (Struma) (11828),-236,BC 236,-235,BC 235,;
Egypt,,Agrippiane Ousia,in the territory of 00b Euhemeria (Qasr el-Banat) (675),54,AD 54,343,AD 343,;
Egypt,,Aiakideus,in L00 Alexandria (100),-238,BC 238,-30,BC 30,;
Egypt,,Aieelotias,,-299,BC 299,-200,BC 200,;
Turkey,Aegae,Aigai,near Phokaia (1792),-285,BC 285,37,AD 37,"38.9,27.3166667;"
Turkey,Aegae - Aegaeae - Aegeae - Aregea,Aigai,,-199,BC 199,640,AD 640,"36.769676,35.789487;"
